artist,artist_id,crawled
10cm,468244,Y
4men,100176,Y
Ailey,629831,Y
BaekJiyoung,1118,Y
BaekYerin,698776,Y
Ben,655051,Y
Cheeze,597191,Y
Crush,674710,Y
Dean,880630,Y
EricNam,592049,Y
Gummy,30358,Y
HuhGak,28801,Y
HwangChiyeul,205746,Y
IU,261143,Y
JangDeokCheol,829211,Y
JeongJoonil,242988,Y
JungEunji,644871,Y
JungJoonyoung,25869,Y
JungSeunghwan,792091,Y
KimBeomsu,6502,Y
KimDongryul,925,Y
KimNayoung,735094,Y
KimYeonwoo,6017,Y
Kwill,175139,Y
KwonJinah,760046,Y
LeeJuck,1088,Y
LeeSeokhoon,205858,Y
LeeSeungchul,1010,Y
LeeSunhee,966,Y
LimChangJung,1142,Y
Lucia,177241,Y
Lyn,8530,Y
McTheMax,161636,Y
Melomance,839732,Y
Minseo,906283,Y
MondayKids,175155,Y
MoonMoon,927668,Y
Naul,3959,Y
OWhen,968452,Y
ParkHyoshin,1191,Y
ParkOne,41499,Y
PaulKim,752425,Y
Punch,749640,Y
RoyKim,699632,Y
SGWannabe,108363,Y
SamKim,757273,Y
Soyou,490981,Y
SungSikyung,3305,Y
Suran,792765,Y
TheOne,160816,Y
Toy,100014,Y
Vibe,160080,Y
YangDail,695994,Y
YoonJongshin,437,Y
Younha,203912,Y
Kyuhyun,205880,Y
YooSeungwoo,699637,Y
StandingEgg,467880,Y
VanillaAcoustic,305169,Y
AcousticCollabo,192827,Y
LeeJina,740789,Y
JohnPark,28772,Y
LeeSeungi,58793,Y
KimYerim,643851,Y
KimFeel,561051,Y
KwakJineon,770167,Y
Bank,100985,Y
VOS,108794,Y
FlyToTheSky,100183,Y
Sohyang,11752,Y
YimJaebeom,4838,Y
MToM,108581,Y
Davichi,236815,Y
Xia,52607,Y
EddyKim,601979,Y
Hyolin,573812,Y






















